City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,havelock,34.8791,-76.9013,31.66,63,0,3.6,US,1691597541
247,inhambane,-23.865,35.3833,21.99,83,40,3.09,MZ,1691597541
248,san patricio,28.017,-97.5169,35.49,46,1,8.08,US,1691597541
249,muskogee,35.5834,-95.3336,26.04,94,75,4.63,US,1691597541
250,tuy hoa,13.0833,109.3,28.51,69,76,4.03,VN,1691597541
251,i-n-salah,27.1935,2.4607,43.96,6,0,12.31,DZ,1691597542
252,keflavik,64.0049,-22.5624,17.95,51,75,6.69,IS,1691597542
253,constantia,44.1833,28.65,23.38,58,0,4.94,RO,1691597542
254,yeniseysk,58.4497,92.1703,15.27,75,40,0.85,RU,1691597542
255,xilin hot,43.9667,116.0333,17.22,62,4,1.83,CN,1691597542
256,naze,28.3667,129.4833,25.92,90,95,7.79,JP,1691597542
257,fort mcmurray,56.7268,-111.381,15.77,72,75,6.17,CA,1691597542
258,changde,29.0464,111.6783,26.85,77,7,1.6,CN,1691597313
259,antsiranana,-12.2787,49.2917,22.99,77,28,5.31,MG,1691597543
260,minas de marcona,-15.2119,-75.1103,17.32,63,16,4.94,PE,1691597543
261,ypsonas,34.6884,32.9574,28.54,65,0,5.66,CY,1691597543
262,sinop,41.7711,34.8709,18.24,71,15,2.17,TR,1691597258
263,aginskoye,51.1,114.53,18.64,64,92,2.78,RU,1691597543
264,kanniyakumari,8.0833,77.5667,26.79,81,100,8.32,IN,1691597543
265,communications hill,37.2965,-121.8669,20.37,71,0,6.26,US,1691597543
266,witu,-2.3889,40.4382,25.09,78,24,5.41,KE,1691597543
267,houghton,47.1219,-88.569,22.28,77,40,5.66,US,1691597544
268,callao,-12.0667,-77.15,24.84,73,75,2.57,PE,1691597544
269,piton saint-leu,-21.2196,55.3151,20.06,78,100,2.06,RE,1691597544
270,tocopilla,-22.092,-70.1979,20.32,68,16,3.55,CL,1691597544
271,sovetskiy,61.3614,63.5842,17.75,59,100,2.28,RU,1691597544
272,puerto aysen,-45.4,-72.7,7.02,100,100,0.0,CL,1691597545
273,carnarvon,-24.8667,113.6333,20.15,76,87,5.77,AU,1691597545
274,dolores,-36.3132,-57.6792,15.87,64,58,4.83,AR,1691597545
275,alexandria,31.2156,29.9553,28.04,66,0,5.38,EG,1691597412
276,poxoreo,-15.8372,-54.3892,37.52,16,14,2.79,BR,1691597545
277,madalena,41.2162,-8.3345,27.64,61,37,5.2,PT,1691597545
278,roswell,34.0232,-84.3616,28.66,71,0,3.09,US,1691597491
279,nuuk,64.1835,-51.7216,6.34,87,75,5.14,GL,1691597545
280,uliastay,47.7417,96.8444,14.19,80,5,1.76,MN,1691597546
281,jutai,-5.1833,-68.9,34.73,41,13,1.63,BR,1691597546
282,saint-leu,-21.15,55.2833,21.48,96,40,1.92,RE,1691597546
283,plettenberg bay,-34.0527,23.3716,15.7,87,0,5.58,ZA,1691597546
284,las khorey,11.1595,48.1967,33.42,51,100,0.66,SO,1691597546
285,nyurba,63.2842,118.3319,17.82,52,0,3.31,RU,1691597546
286,heze,35.2431,115.4411,25.3,84,31,2.76,CN,1691597546
287,kalmunai,7.4167,81.8167,27.81,78,100,2.17,LK,1691597547
288,oromocto,45.8351,-66.4792,22.62,88,75,3.6,CA,1691597547
289,quellon,-43.1167,-73.6167,12.14,94,100,8.23,CL,1691597547
290,askoy,60.4092,5.226,12.2,50,75,2.57,NO,1691597547
291,tadine,-21.55,167.8833,18.33,61,21,6.78,NC,1691597547
292,undurkhaan,47.3194,110.6556,20.16,57,81,3.32,MN,1691597547
293,el alto,-4.2714,-81.2147,24.81,69,87,3.16,PE,1691597547
294,taltal,-25.4,-70.4833,19.34,63,75,3.52,CL,1691597548
295,boguchany,58.3814,97.4531,15.49,86,40,0.35,RU,1691597548
296,thal,35.4791,72.2439,18.98,93,27,0.68,PK,1691597385
